row_id,P_id,Span,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,caught,bowled,leg before wicket
0,234675,2009-2023,184,1586.2,55,7744,212,36.52,4.88,44.8,100.0,54.0,36.0
1,625371,2016-2023,80,533.1,15,2960,84,35.23,5.55,38.0,71.0,8.0,5.0
2,26421,2010-2023,114,1050.3,37,5180,156,33.2,4.93,40.4,84.0,29.0,25.0
3,625383,2016-2023,83,725.2,52,3347,143,23.4,4.61,30.4,88.0,43.0,12.0
4,481896,2013-2023,95,799.0,49,4437,180,24.65,5.55,26.6,110.0,60.0,10.0
5,326016,2012-2022,120,974.3,68,4951,141,35.11,5.08,41.4,105.0,26.0,10.0
6,376116,2010-2018,73,593.0,23,3565,106,33.63,6.01,33.5,76.0,20.0,10.0
