row_id,P_id,Span,Inns,Runs,HS,Ave,SR,100,50,0,4s,6s
0,253802,2008-2023,275,13437,183,57.91,93.63,48,69,16,1255,148
1,34102,2007-2023,249,10510,264,49.34,91.35,31,54,16,971,312
2,422108,2016-2023,63,2507,112,50.14,86.89,6,16,2,196,55
3,28235,2010-2022,164,6793,143,44.11,91.35,17,39,5,842,79
4,28081,2004-2019,297,10773,183*,50.57,87.56,10,73,10,826,229
5,234675,2009-2023,129,2683,87,32.32,84.39,0,13,6,195,52
6,625371,2016-2023,61,1769,92*,34.01,110.35,0,11,4,132,67
7,26421,2010-2023,63,707,65,16.44,86.96,0,1,6,60,7
