p_id,full name,born,age,batting style,bowling style,fielding position,playing role,key role
253802,Virat Kohli,"November 05, 1988, Delhi",34y 360d,Right hand Bat,Right arm Medium,,Top order Batter,BAT
34102,Rohit Gurunath Sharma,"April 30, 1987, Bansod, Nagpur, Maharashtra",36y 184d,Right hand Bat,Right arm Offbreak,,Top order Batter,BAT
422108,Kannaur Lokesh Rahul,"April 18, 1992, Bangalore, Karnataka",31y 196d,Right hand Bat,,Wicketkeeper,Wicketkeeper Batter,BAT
234675,Ravindrasinh Anirudhsinh Jadeja,"December 06, 1988, Navagam-Khed, Saurashtra",34y 329d,Left hand Bat,Slow Left arm Orthodox,,Allrounder,ALL
625371,Hardik Himanshu Pandya,"October 11, 1993, Choryasi, Gujarat",30y 20d,Right hand Bat,Right arm Medium fast,,Allrounder,ALL
481896,Mohammed Shami Ahmed,"September 03, 1990, Amroha, Uttar Pradesh",33y 58d,Right hand Bat,Right arm Fast,,Bowler,BOW
26421,Ravichandran Ashwin,"September 17, 1986, Madras (now Chennai), Tamil Nadu",37y 44d,Right hand Bat,Right arm Offbreak,,Bowling Allrounder,ALL
625383,Jasprit Jasbirsingh Bumrah,"December 06, 1993, Ahmedabad",29y 329d,Right hand Bat,Right arm Fast,,Bowler,BOW
